23049176	115124482
18997016	400291504
807106	383779671
12210870	256794605
18927299	357062464
8119848	331245551
1725399	139223646
12210870	379562546
2989110	216498958
14515063	125040457
15511710	268656539
12628544	317128208
2913602	8264125
18997016	375587792
17328648	378192949
475826	9864107
807106	100614025
16332862	221445876
21978171	354445322
10480818	245612414
24466657	218555804
24690079	298149187
25187340	25545579
5020210	360580532
22378126	173492398
1824572	400026300
7436994	53763181
12214179	331730418
14281644	241846677
4120403	261760494
8213864	370450015
14515063	403789093
11966763	99940715
21743048	163325407
21978171	186750531
16332862	208043094
25778057	234892007
3694961	277440555
8119848	249944591
15120218	183059959
29710830	265198340
25994909	368977546
21562611	400889174
8213864	363981452
12628544	338073872
21550476	133604729
20903813	75713416
1725399	37639526
11966763	66739047
17373553	238229481
5424550	333934205
19338057	216181223
14515063	236986369
21743048	57206172
21140632	81018308
9710339	254931445
12940608	227023456
2720721	71008202
3375066	99945620
3671315	230861062
15541192	363913895
22779974	137662684
8917150	200961283
15386874	370885336
16066732	868409
8119848	52507952
22525341	200345188
521437	187039940
7959667	19435984
754205	126687458
16895773	45797964
1824572	106668038
1334962	109944285
11966763	328304847
16601288	303697608
7397337	264249599
1806084	14302349
21743048	34144394
6452476	127247596
189833	66869725
27090424	372814991
18927299	45137140
26081392	342457039
21562611	62516653
17328648	27099365
11257305	300555492
17825629	394328165
5694160	23060629
23419403	291395039
18883390	208143706
28734621	222726992
28734621	293417743
21978171	270396542
21743048	221833630
14515063	70766921
12210870	22600273
1926899	401623134
4120403	317987054
807106	397467176
5424550	228492201
21507233	181386008
1857066	166133862
15386874	110530804
17672892	295007979
26622553	393527463
26081392	172611851
21696214	50402972
3519280	342871311
8119848	77199765
8679255	269334660
19146119	243308100
16590671	235664667
7956207	275829091
18072808	355958500
19478600	158294005
20912759	72719964
6776778	189507100
1259845	252110344
11361547	400806970
9219164	290947716
9560592	364810033
22776936	380029608
26384257	324597804
16755897	215246481
16755897	351505861
24805953	251352402
7585996	275087590
29582784	383446339
21038500	182993472
25375727	345221581
8213864	302760915
4903043	80540546
21217939	361148428
25871996	384537282
17908580	87262996
6222588	357418183
11966763	342702132
1206079	115269409
2745737	119092807
21447166	81015942
27608145	298660745
227293	203053899
9219164	191595889
14664626	235095249
5698511	269171622
10455102	2694933
15777503	316083759
88930	176556528
14515063	19288347
14515063	155622782
14515063	179599573
17216075	371823168
8886191	86422448
497764	399815743
16511689	85149677
4710740	303205878
19803129	291694680
15511710	371394735
6336487	264836800
9774692	392035973
22444189	160626939
7959667	269438865
2103285	104533705
10480818	183804327
16017921	95100603
12012359	225558337
19338057	235404532
21832523	30617613
2302002	275065705
15064877	279474108
14515063	34859662
12833799	221033147
14515063	395807564
22393155	243091690
2319819	177493483
14515063	355923990
28235067	181445300
21743048	265304122
14515063	77668759
18997016	233768461
22393155	291937214
20379505	146039499
18997016	31994482
18997016	236591921
1926899	273429227
5424550	31457990
21140632	360766537
4120403	381274958
11106706	303205878
26509398	122775159
4120403	96304494
19803129	25010331
21140632	317072049
26509398	398628105
5424550	291217895
4361577	193140677
16332862	253127265
475826	263601059
16332862	159268293
16332862	298777107
21743048	364557820
12210870	285941791
10297132	332181641
10297132	230031034
25778057	191608058
21605110	199698624
10297132	377419681
25020664	164856417
25020664	328197191
12322077	215799627
10539406	109259240
14137229	243091690
21465106	338500762
27927595	255101216
14281644	277218748
7853740	28013736
7853740	343508800
11257305	186821796
25678919	193798470
11197151	276769974
15987177	302733760
11141921	13439786
3519280	155594013
16137242	335643345
29710830	39614031
11313328	22600273
3166978	370894265
8452470	128946989
20180785	281260498
25952339	287931424
807106	125563196
21266227	404174107
26384257	305718897
113960	214409539
2622091	221335163
29381952	49147170
29669124	251950616
23446150	128024041
25761045	324604118
3508821	284963672
27808271	277258188
8886191	177889581
521437	375268437
13396413	187708728
2003464	349343718
7892881	391679687
25896264	288181612
24620052	339662628
27115433	315607687
20824894	279029876
24805953	228857226
12214179	263956332
6478780	161382131
4387844	157461342
4076820	83306245
14946743	87377194
5865371	335340268
18244844	219066605
22509276	143042638
22305188	186531510
17216075	72935628
17340020	397468118
10980798	320339294
15758254	361840941
27579582	333203023
17825629	263086746
12510155	67132201
6516360	362666747
23043365	306660372
25896264	402377235
21202467	23860429
29217415	11359706
29326716	113037191
11966763	228893070
26372667	338296462
7799018	5444049
21740397	172418263
13096088	327718235
21184528	221726853
16641115	150469579
1806084	197587404
19338057	101111838
24636415	279232033
18017690	160761838
